          
/*
  1 = desired gain
  2 = bb1_gain
  3 = bb2_gain
  4 = if_gain
  5 = rf_gain
*/
          
// 1    2   3     4     5
//--   --  --    --    --
   0,   0,  0,    0,    0,
  11,   1,  0,    0,    0,
  18,   2,  0,    0,    0,
  22,   3,  0,    0,    0,
  31,   2,  0,    0,    1,
  36,   3,  0,    0,    1,
  40,   3,  2,    0,    0,
  45,   3,  3,    0,    0,
  49,   2,  2,    0,    1,
  54,   3,  2,    0,    1,
  58,   2,  2,    0,    2,
  63,   3,  2,    0,    2,
  70,   3,  2,    0,    3,
  75,   3,  3,    0,    3,
  78,   3,  3,    0,    4,
  81,   3,  3,    0,    5,
  82,   3,  3,    0,    6,
  83,   3,  3,    0,    7,
