          
/*
  1 = desired gain
  2 = bb1_gain
  3 = bb2_gain
  4 = if_gain
  5 = rf_gain
*/
          
// 1    2   3     4     5
//--   --  --    --    --
   0,   0,  0,    0,    0,
  12,   1,  0,    0,    0,
  19,   2,  0,    0,    0,
  24,   3,  0,    0,    0,
  28,   0,  0,    0,    4,
  31,   2,  1,    0,    0,
  34,   0,  0,    0,    6,
  36,   3,  1,    0,    0,
  38,   2,  2,    0,    0,
  40,   1,  0,    0,    4,
  43,   3,  2,    0,    0,
  46,   1,  0,    0,    6,
  48,   3,  3,    0,    0,
  50,   2,  2,    0,    1,
  52,   3,  0,    0,    4,
  55,   3,  2,    0,    1,
  57,   2,  2,    0,    2,
  60,   3,  3,    0,    1,
  62,   3,  2,    0,    2,
  64,   3,  1,    0,    4,
  67,   3,  3,    0,    2,
  69,   2,  2,    0,    5,
  72,   3,  3,    0,    3,
  74,   3,  2,    0,    5,
  76,   3,  3,    0,    4,
  79,   3,  3,    0,    5,
  82,   3,  3,    0,    6,
  84,   3,  3,    0,    7,
